compiler,program,opt,flag_id,sweep,is_warmup,wall_s,user_s,sys_s,max_rss_kb,exit_code,term_signal,output_ok,epoch_s
g++,final,-O3,baseline,0,1,0.089315,0.089232,0.0,1676,0,,1,1783529771
g++,final,-O3,pie,0,1,0.092754,0.09266,0.0,1564,0,,1,1783529771
g++,final,-O3,no_pie,0,1,0.096824,0.096734,0.0,1404,0,,1,1783529771
g++,final,-O3,fortify1,0,1,0.068638,0.068562,0.0,1652,0,,1,1783529771
g++,final,-O3,fortify2,0,1,0.068414,0.060741,0.007592,1640,0,,1,1783529772
g++,final,-O3,fortify_off,0,1,0.089321,0.08924,0.0,1676,0,,1,1783529772
g++,final,-O3,noexecstack,0,1,0.092267,0.09219,0.0,1532,0,,1,1783529772
g++,final,-O3,execstack,0,1,0.089274,0.089198,0.0,1464,0,,1,1783529772
g++,final,-O3,relro_full,0,1,0.08921,0.089116,0.0,1468,0,,1,1783529772
g++,final,-O3,no_stack_protector,0,1,0.089321,0.089213,0.0,1680,0,,1,1783529772
g++,final,-O3,stack_protector,0,1,0.093198,0.093114,0.0,1644,0,,1,1783529772
g++,final,-O3,stack_protector_strong,0,1,0.091451,0.091367,0.0,1672,0,,1,1783529772
g++,final,-O3,stack_protector_all,0,1,0.091373,0.091288,0.0,1472,0,,1,1783529772
g++,final,-O3,no_plt,0,1,0.089386,0.089287,0.0,1684,0,,1,1783529772
g++,final,-O3,asan,0,1,0.420736,0.412619,0.007971,13244,0,,1,1783529773
g++,final,-O3,ubsan,0,1,0.096674,0.096566,0.0,3964,0,,1,1783529773
g++,final,-Os,baseline,0,1,0.08932,0.089247,0.0,1676,0,,1,1783529773
g++,final,-Os,pie,0,1,0.089232,0.089157,0.0,1564,0,,1,1783529773
g++,final,-Os,no_pie,0,1,0.089185,0.089106,0.0,1668,0,,1,1783529773
g++,final,-Os,fortify1,0,1,0.063336,0.063256,0.0,1572,0,,1,1783529773
g++,final,-Os,fortify2,0,1,0.065404,0.065327,0.0,1644,0,,1,1783529773
g++,final,-Os,fortify_off,0,1,0.092843,0.092753,0.0,1620,0,,1,1783529773
g++,final,-Os,noexecstack,0,1,0.089369,0.089291,0.0,1564,0,,1,1783529773
g++,final,-Os,execstack,0,1,0.089442,0.089352,0.0,1528,0,,1,1783529774
g++,final,-Os,relro_full,0,1,0.089402,0.08933,0.0,1672,0,,1,1783529774
g++,final,-Os,no_stack_protector,0,1,0.092412,0.092333,0.0,1676,0,,1,1783529774
g++,final,-Os,stack_protector,0,1,0.089563,0.089476,0.0,1532,0,,1,1783529774
g++,final,-Os,stack_protector_strong,0,1,0.095389,0.095303,0.0,1648,0,,1,1783529774
g++,final,-Os,stack_protector_all,0,1,0.089335,0.089244,0.0,1604,0,,1,1783529774
g++,final,-Os,no_plt,0,1,0.089513,0.089433,0.0,1684,0,,1,1783529774
g++,final,-Os,asan,0,1,0.410742,0.406656,0.003966,9848,0,,1,1783529774
g++,final,-Os,ubsan,0,1,0.093219,0.089222,0.003879,3740,0,,1,1783529775
clang++,suma,-O0,baseline,0,1,0.82841,0.828299,0.0,7004,0,,1,1783529775
clang++,suma,-O0,pie,0,1,0.868929,0.86482,0.003985,6900,0,,1,1783529776
clang++,suma,-O0,no_pie,0,1,0.832459,0.82833,0.004001,6908,0,,1,1783529777
clang++,suma,-O0,fortify1,0,1,0.826284,0.822161,0.003991,6884,0,,1,1783529778
clang++,suma,-O0,fortify2,0,1,0.827664,0.827566,0.0,6900,0,,1,1783529779
clang++,suma,-O0,fortify_off,0,1,0.825138,0.825021,0.0,6912,0,,1,1783529780
clang++,suma,-O0,noexecstack,0,1,0.825066,0.824934,0.0,6808,0,,1,1783529780
clang++,suma,-O0,execstack,0,1,0.855839,0.855723,0.0,7012,0,,1,1783529781
clang++,suma,-O0,relro_full,0,1,0.841624,0.841469,0.0,6880,0,,1,1783529782
clang++,suma,-O0,no_stack_protector,0,1,0.83096,0.830849,0.0,6900,0,,1,1783529783
clang++,suma,-O0,stack_protector,0,1,0.825181,0.825068,0.0,6900,0,,1,1783529784
clang++,suma,-O0,stack_protector_strong,0,1,0.843866,0.839741,0.003998,6900,0,,1,1783529785
clang++,suma,-O0,stack_protector_all,0,1,1.114217,1.110108,0.003993,6860,0,,1,1783529786
clang++,suma,-O0,no_plt,0,1,0.87743,0.877292,0.0,6900,0,,1,1783529787
clang++,suma,-O0,asan,0,1,1.342284,1.330044,0.012028,20520,0,,1,1783529788
clang++,suma,-O0,ubsan,0,1,3.456803,3.448555,0.007992,9292,0,,1,1783529791
clang++,suma,-O0,msan,0,1,6.302553,6.298095,0.004001,14340,0,,1,1783529798
clang++,suma,-O0,safe_stack,0,1,0.888775,0.884643,0.004002,6876,0,,1,1783529799
clang++,suma,-O0,lto,0,1,0.826063,0.821954,0.00399,6836,0,,1,1783529799
clang++,suma,-O1,baseline,0,1,0.121833,0.117814,0.003927,6888,0,,1,1783529800
clang++,suma,-O1,pie,0,1,0.121281,0.121192,0.0,6916,0,,1,1783529800
clang++,suma,-O1,no_pie,0,1,0.081669,0.077708,0.003885,6920,0,,1,1783529800
clang++,suma,-O1,fortify1,0,1,0.121472,0.121379,0.0,6892,0,,1,1783529800
clang++,suma,-O1,fortify2,0,1,0.081259,0.081159,0.0,6736,0,,1,1783529800
clang++,suma,-O1,fortify_off,0,1,0.121168,0.11717,0.003905,6784,0,,1,1783529800
clang++,suma,-O1,noexecstack,0,1,0.121372,0.121283,0.0,6780,0,,1,1783529800
clang++,suma,-O1,execstack,0,1,0.121082,0.117078,0.003902,6920,0,,1,1783529800
clang++,suma,-O1,relro_full,0,1,0.121949,0.121854,0.0,6788,0,,1,1783529800
clang++,suma,-O1,no_stack_protector,0,1,0.121349,0.121261,0.0,6784,0,,1,1783529801
clang++,suma,-O1,stack_protector,0,1,0.121409,0.121325,0.0,6928,0,,1,1783529801
clang++,suma,-O1,stack_protector_strong,0,1,0.12136,0.121268,0.0,6864,0,,1,1783529801
clang++,suma,-O1,stack_protector_all,0,1,0.123837,0.119759,0.003991,6788,0,,1,1783529801
clang++,suma,-O1,no_plt,0,1,0.088386,0.084279,0.004013,6904,0,,1,1783529801
clang++,suma,-O1,asan,0,1,0.156301,0.152176,0.003927,16256,0,,1,1783529801
clang++,suma,-O1,ubsan,0,1,0.240954,0.240813,0.0,7216,0,,1,1783529801
clang++,suma,-O1,msan,0,1,0.230052,0.221877,0.007924,14132,0,,1,1783529802
clang++,suma,-O1,safe_stack,0,1,0.12145,0.117306,0.004045,6804,0,,1,1783529802
clang++,suma,-O1,lto,0,1,0.122649,0.122559,0.0,7076,0,,1,1783529802
clang++,suma,-O2,baseline,0,1,0.055317,0.055221,0.0,6936,0,,1,1783529802
clang++,suma,-O2,pie,0,1,0.055176,0.055081,0.0,6844,0,,1,1783529802
clang++,suma,-O2,no_pie,0,1,0.045679,0.045599,0.0,6900,0,,1,1783529802
clang++,suma,-O2,fortify1,0,1,0.055267,0.05122,0.00394,6936,0,,1,1783529802
clang++,suma,-O2,fortify2,0,1,0.047148,0.047059,0.0,6984,0,,1,1783529802
