compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,compile_wall_s,compile_user_s,compile_sys_s,compile_max_rss_kb,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
g++,startup,-O0,noexecstack,-z noexecstack,g++ /app/programs/startup.cpp -O0 -z noexecstack -o results_csv/20260711-061031/bin/g++__startup__O0__noexecstack,1,0.474,0.055,0.014,24724,15960,14472,partial,no,yes,yes,0,0,aa44a914de79795ffd7ff2dde12ae844ad97a2d0ad73812a4bf3899c56ed2605,
g++,startup,-O0,execstack,-z execstack,g++ /app/programs/startup.cpp -O0 -z execstack -o results_csv/20260711-061031/bin/g++__startup__O0__execstack,1,0.483,0.053,0.016,24724,15960,14472,partial,no,no,yes,0,0,f4cad160cb9522b3467ee7a9833f69ffe1eebd91ad4e27f7a015ec3031ce1a34,
g++,startup,-O0,relro_full,"-Wl,-z,relro,-z,now","g++ /app/programs/startup.cpp -O0 -Wl,-z,relro,-z,now -o results_csv/20260711-061031/bin/g++__startup__O0__relro_full",1,0.364,0.059,0.009,24724,15872,14384,full,no,yes,yes,0,0,e81c55cfcc81bcc83137b1a59433ca859d7bd56a039a1f530c45cddc7bc72886,
g++,startup,-O0,no_stack_protector,-fno-stack-protector,g++ /app/programs/startup.cpp -O0 -fno-stack-protector -o results_csv/20260711-061031/bin/g++__startup__O0__no_stack_protector,1,0.371,0.045,0.023,24724,15960,14472,partial,no,yes,yes,0,0,aa44a914de79795ffd7ff2dde12ae844ad97a2d0ad73812a4bf3899c56ed2605,
g++,startup,-O0,stack_protector,-fstack-protector,g++ /app/programs/startup.cpp -O0 -fstack-protector -o results_csv/20260711-061031/bin/g++__startup__O0__stack_protector,1,0.366,0.059,0.01,24724,15960,14472,partial,no,yes,yes,0,0,aa44a914de79795ffd7ff2dde12ae844ad97a2d0ad73812a4bf3899c56ed2605,
g++,startup,-O0,stack_protector_strong,-fstack-protector-strong,g++ /app/programs/startup.cpp -O0 -fstack-protector-strong -o results_csv/20260711-061031/bin/g++__startup__O0__stack_protector_strong,1,0.399,0.054,0.015,24724,15960,14472,partial,no,yes,yes,0,0,aa44a914de79795ffd7ff2dde12ae844ad97a2d0ad73812a4bf3899c56ed2605,
g++,startup,-O0,stack_protector_all,-fstack-protector-all,g++ /app/programs/startup.cpp -O0 -fstack-protector-all -o results_csv/20260711-061031/bin/g++__startup__O0__stack_protector_all,1,0.478,0.061,0.007,24724,16016,14480,partial,yes,yes,yes,0,0,e364b496deab6d0c59f6badc18c81b1b3fb70a8a017816d4269eb202d9284454,
g++,startup,-O0,no_plt,-fno-plt,g++ /app/programs/startup.cpp -O0 -fno-plt -o results_csv/20260711-061031/bin/g++__startup__O0__no_plt,1,0.475,0.053,0.015,24724,15872,14384,partial,no,yes,yes,0,0,f09fe85293b26b2e23de61a915b795baf343ccf1539f1a13e57220e482bb311d,
g++,startup,-O0,asan,-fsanitize=address,g++ /app/programs/startup.cpp -O0 -fsanitize=address -o results_csv/20260711-061031/bin/g++__startup__O0__asan,1,0.679,0.101,0.009,24724,25352,14680,partial,no,yes,yes,0,0,a651e07071921391d9ca11c644e29dca3454b09c06860af13e98b7d09379c628,
g++,startup,-O0,ubsan,-fsanitize=undefined,g++ /app/programs/startup.cpp -O0 -fsanitize=undefined -o results_csv/20260711-061031/bin/g++__startup__O0__ubsan,1,0.609,0.082,0.022,24724,16040,14552,partial,no,yes,yes,0,0,b8e678f18903314fb6fa21762e91ce46ab097f531e7dfcdee0c4607421cdd9ac,
g++,startup,-O0,hardening_baseline,"-fstack-protector-strong -D_FORTIFY_SOURCE=2 -Wl,-z,relro,-z,now -z noexecstack -fPIE -pie","g++ /app/programs/startup.cpp -O0 -fstack-protector-strong -D_FORTIFY_SOURCE=2 -Wl,-z,relro,-z,now -z noexecstack -fPIE -pie -o results_csv/20260711-061031/bin/g++__startup__O0__hardening_baseline",1,0.436,0.061,0.008,24724,15872,14384,full,no,yes,yes,0,0,e81c55cfcc81bcc83137b1a59433ca859d7bd56a039a1f530c45cddc7bc72886,
g++,startup,-O1,baseline,,g++ /app/programs/startup.cpp -O1 -o results_csv/20260711-061031/bin/g++__startup__O1__baseline,1,0.428,0.051,0.02,24724,15960,14472,partial,no,yes,yes,0,0,a41316fe195a36017a89ce3431b2c71566b059af38c46e8c7e0d1d890bb0858d,
g++,startup,-O1,pie,-fPIE -pie,g++ /app/programs/startup.cpp -O1 -fPIE -pie -o results_csv/20260711-061031/bin/g++__startup__O1__pie,1,0.374,0.048,0.023,24724,15960,14472,partial,no,yes,yes,0,0,a41316fe195a36017a89ce3431b2c71566b059af38c46e8c7e0d1d890bb0858d,
g++,startup,-O1,no_pie,-no-pie,g++ /app/programs/startup.cpp -O1 -no-pie -o results_csv/20260711-061031/bin/g++__startup__O1__no_pie,1,0.507,0.056,0.014,24724,15784,14400,partial,no,yes,no,0,0,730979a4cb663e7f8aa1bb093c156589f8fc38858c165d699e15007c9403346f,
g++,startup,-O1,fortify1,-D_FORTIFY_SOURCE=1,g++ /app/programs/startup.cpp -O1 -D_FORTIFY_SOURCE=1 -o results_csv/20260711-061031/bin/g++__startup__O1__fortify1,1,0.49,0.067,0.007,24724,15960,14472,partial,no,yes,yes,0,0,a41316fe195a36017a89ce3431b2c71566b059af38c46e8c7e0d1d890bb0858d,
g++,startup,-O1,fortify2,-D_FORTIFY_SOURCE=2,g++ /app/programs/startup.cpp -O1 -D_FORTIFY_SOURCE=2 -o results_csv/20260711-061031/bin/g++__startup__O1__fortify2,1,0.41,0.057,0.019,24724,15960,14472,partial,no,yes,yes,0,0,a41316fe195a36017a89ce3431b2c71566b059af38c46e8c7e0d1d890bb0858d,
g++,startup,-O1,fortify_off,-U_FORTIFY_SOURCE,g++ /app/programs/startup.cpp -O1 -U_FORTIFY_SOURCE -o results_csv/20260711-061031/bin/g++__startup__O1__fortify_off,1,0.434,0.055,0.016,24724,15960,14472,partial,no,yes,yes,0,0,a41316fe195a36017a89ce3431b2c71566b059af38c46e8c7e0d1d890bb0858d,
g++,startup,-O1,noexecstack,-z noexecstack,g++ /app/programs/startup.cpp -O1 -z noexecstack -o results_csv/20260711-061031/bin/g++__startup__O1__noexecstack,1,0.423,0.063,0.008,24724,15960,14472,partial,no,yes,yes,0,0,a41316fe195a36017a89ce3431b2c71566b059af38c46e8c7e0d1d890bb0858d,
g++,startup,-O1,execstack,-z execstack,g++ /app/programs/startup.cpp -O1 -z execstack -o results_csv/20260711-061031/bin/g++__startup__O1__execstack,1,0.412,0.055,0.016,24724,15960,14472,partial,no,no,yes,0,0,5c58901fb44f60abc042391cb659f8f860c1dc25696728f455a0f2d0775a131b,
