compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
g++,final,-O3,relro_full,50,248.502,248.492,248.508,1624,1562,1668,1.0000,1.0000,1.0001
g++,final,-O3,stack_protector,50,248.507,248.500,248.512,1570,1560,1604,1.0001,1.0000,1.0001
g++,final,-O3,stack_protector_all,50,248.495,248.487,248.506,1572,1564,1604,1.0000,1.0000,1.0001
g++,final,-O3,stack_protector_strong,50,248.493,248.487,248.501,1576,1566,1626,1.0000,1.0000,1.0000
g++,final,-O3,ubsan,50,253.329,253.265,253.432,3948,3922,3968,1.0195,1.0192,1.0199
g++,final,-Os,asan,50,1151.559,1149.637,1152.889,9828,9708,10872,4.6339,4.6264,4.6399
g++,final,-Os,baseline,50,248.507,248.495,248.514,1634,1572,1648,,,
g++,final,-Os,execstack,50,248.502,248.490,248.514,1604,1566,1646,1.0000,0.9999,1.0000
g++,final,-Os,fortify1,50,430.449,430.156,430.657,1608,1564,1674,1.7321,1.7309,1.7330
g++,final,-Os,fortify2,50,430.669,430.196,430.813,1570,1536,1622,1.7330,1.7311,1.7336
g++,final,-Os,fortify_off,50,248.508,248.494,248.514,1572,1554,1640,1.0000,0.9999,1.0001
g++,final,-Os,hardening_baseline,50,433.631,433.406,433.996,1568,1564,1604,1.7449,1.7440,1.7464
g++,final,-Os,no_pie,50,248.490,248.483,248.500,1572,1564,1608,0.9999,0.9999,1.0000
g++,final,-Os,no_plt,50,246.496,246.485,246.506,1602,1564,1632,0.9919,0.9919,0.9920
g++,final,-Os,no_stack_protector,50,248.502,248.488,248.510,1574,1532,1624,1.0000,0.9999,1.0000
g++,final,-Os,noexecstack,50,248.500,248.494,248.510,1632,1568,1658,1.0000,0.9999,1.0000
g++,final,-Os,pie,50,248.509,248.495,248.516,1606,1564,1644,1.0000,0.9999,1.0001
g++,final,-Os,relro_full,50,248.495,248.483,248.502,1568,1534,1620,1.0000,0.9999,1.0000
g++,final,-Os,stack_protector,50,251.449,251.441,251.460,1568,1564,1624,1.0118,1.0118,1.0119
g++,final,-Os,stack_protector_all,50,251.451,251.442,251.465,1602,1568,1648,1.0118,1.0118,1.0119
g++,final,-Os,stack_protector_strong,50,251.454,251.447,251.459,1610,1568,1648,1.0119,1.0118,1.0119
g++,final,-Os,ubsan,50,255.300,255.289,255.317,3920,3892,3952,1.0273,1.0273,1.0274
g++,startup,-O0,asan,50,14.714,14.298,15.499,7766,7660,9590,26.8995,26.1211,28.3364
g++,startup,-O0,baseline,50,0.547,0.544,0.549,1378,1352,1394,,,
g++,startup,-O0,execstack,50,0.530,0.528,0.533,1374,1348,1380,0.9689,0.9635,0.9770
g++,startup,-O0,fortify1,50,0.530,0.528,0.533,1372,1346,1380,0.9698,0.9645,0.9770
g++,startup,-O0,fortify2,50,0.529,0.527,0.532,1374,1360,1402,0.9671,0.9617,0.9752
g++,startup,-O0,fortify_off,50,0.528,0.526,0.530,1386,1370,1392,0.9653,0.9608,0.9724
g++,startup,-O0,hardening_baseline,50,0.530,0.528,0.533,1372,1352,1376,0.9689,0.9645,0.9761
g++,startup,-O0,no_pie,50,0.526,0.523,0.528,1340,1320,1368,0.9607,0.9553,0.9669
g++,startup,-O0,no_plt,50,0.528,0.526,0.529,1372,1356,1380,0.9644,0.9599,0.9706
g++,startup,-O0,no_stack_protector,50,0.529,0.528,0.532,1380,1376,1388,0.9680,0.9635,0.9743
g++,startup,-O0,noexecstack,50,0.528,0.527,0.530,1372,1352,1380,0.9653,0.9608,0.9725
g++,startup,-O0,pie,50,0.529,0.527,0.531,1376,1364,1388,0.9671,0.9617,0.9734
g++,startup,-O0,relro_full,50,0.529,0.527,0.532,1372,1348,1378,0.9671,0.9617,0.9742
g++,startup,-O0,stack_protector,50,0.528,0.526,0.529,1374,1348,1384,0.9653,0.9608,0.9715
g++,startup,-O0,stack_protector_all,50,0.528,0.526,0.532,1374,1364,1376,0.9653,0.9608,0.9742
g++,startup,-O0,stack_protector_strong,50,0.528,0.526,0.530,1368,1348,1376,0.9653,0.9608,0.9715
g++,startup,-O0,ubsan,50,1.388,1.377,1.396,3746,3714,3778,2.5366,2.5174,2.5550
g++,startup,-O1,asan,50,14.813,14.620,15.637,9700,8686,11196,28.0019,27.6843,29.5595
g++,startup,-O1,baseline,50,0.529,0.526,0.530,1374,1368,1380,,,
g++,startup,-O1,execstack,50,0.530,0.528,0.532,1370,1348,1384,1.0019,0.9981,1.0076
g++,startup,-O1,fortify1,50,0.529,0.526,0.532,1368,1344,1384,1.0000,0.9943,1.0066
g++,startup,-O1,fortify2,50,0.528,0.527,0.530,1372,1360,1388,0.9991,0.9962,1.0038
g++,startup,-O1,fortify_off,50,0.529,0.528,0.532,1378,1372,1392,1.0009,0.9981,1.0066
g++,startup,-O1,hardening_baseline,50,0.533,0.531,0.534,1360,1346,1382,1.0076,1.0038,1.0123
g++,startup,-O1,no_pie,50,0.523,0.520,0.524,1328,1316,1368,0.9887,0.9839,0.9934
g++,startup,-O1,no_plt,50,0.527,0.526,0.530,1374,1370,1380,0.9962,0.9943,1.0038
g++,startup,-O1,no_stack_protector,50,0.529,0.527,0.530,1368,1344,1376,1.0000,0.9962,1.0047
g++,startup,-O1,noexecstack,50,0.528,0.526,0.529,1380,1368,1388,0.9972,0.9943,1.0028
