compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
rustc,suma,-C opt-level=1,stack_protector,10,164.976,164.870,165.438,5822,5732,5900,1.0007,0.9979,1.0032
rustc,suma,-C opt-level=1,stack_protector_none,10,164.878,164.803,165.164,5774,5770,5884,1.0001,0.9957,1.0018
rustc,suma,-C opt-level=1,stack_protector_strong,10,164.936,164.804,165.285,5818,5746,5892,1.0004,0.9950,1.0025
rustc,suma,-C opt-level=2,asan,10,168.394,167.130,168.901,11714,10774,12756,3.4411,3.3370,3.4573
rustc,suma,-C opt-level=2,baseline,10,48.936,48.808,50.338,5790,5736,5884,,,
rustc,suma,-C opt-level=2,debug_assertions,10,120.850,120.679,121.210,5776,5724,5792,2.4696,2.3999,2.4800
rustc,suma,-C opt-level=2,execstack,10,48.832,48.731,48.972,5844,5736,5878,0.9979,0.9706,1.0025
rustc,suma,-C opt-level=2,lsan,10,76.418,76.290,77.709,10514,8576,10604,1.5616,1.5177,1.5899
rustc,suma,-C opt-level=2,lto,10,48.781,48.688,49.418,5780,5684,5802,0.9968,0.9691,1.0105
rustc,suma,-C opt-level=2,lto_thin,10,48.904,48.765,49.106,5726,5636,5776,0.9994,0.9713,1.0038
rustc,suma,-C opt-level=2,no_pie,10,48.811,48.579,48.867,5766,5740,5872,0.9975,0.9684,1.0007
rustc,suma,-C opt-level=2,noexecstack,10,48.841,48.758,48.977,5768,5704,5810,0.9981,0.9691,1.0027
rustc,suma,-C opt-level=2,overflow_checks,10,120.744,120.603,120.915,5754,5734,5868,2.4674,2.3987,2.4748
rustc,suma,-C opt-level=2,panic_abort,10,48.922,48.775,49.106,5846,5776,5872,0.9997,0.9719,1.0048
rustc,suma,-C opt-level=2,pie,10,48.877,48.770,49.104,5828,5772,5852,0.9988,0.9702,1.0032
rustc,suma,-C opt-level=2,relro_full,10,49.008,48.803,49.180,5856,5778,5896,1.0015,0.9732,1.0059
rustc,suma,-C opt-level=2,stack_protector,10,48.903,48.792,49.105,5772,5704,5864,0.9993,0.9704,1.0049
rustc,suma,-C opt-level=2,stack_protector_none,10,48.840,48.722,48.923,5782,5706,5876,0.9980,0.9695,1.0014
rustc,suma,-C opt-level=2,stack_protector_strong,10,48.859,48.719,49.139,5840,5778,5852,0.9984,0.9701,1.0042
rustc,suma,-C opt-level=3,asan,10,168.418,167.573,172.809,10810,10672,11762,3.4353,3.3826,3.5167
rustc,suma,-C opt-level=3,baseline,10,49.025,48.713,49.826,5830,5692,5900,,,
rustc,suma,-C opt-level=3,debug_assertions,10,91.958,91.771,92.027,5858,5794,5892,1.8757,1.8448,1.8873
rustc,suma,-C opt-level=3,execstack,10,48.834,48.735,48.965,5860,5804,5884,0.9961,0.9803,1.0032
rustc,suma,-C opt-level=3,lsan,10,76.584,76.352,77.546,8570,8500,10560,1.5621,1.5417,1.5865
rustc,suma,-C opt-level=3,lto,10,48.917,48.775,51.932,5640,5590,5744,0.9978,0.9826,1.0568
rustc,suma,-C opt-level=3,lto_thin,10,48.811,48.660,49.966,5626,5594,5748,0.9956,0.9817,1.0192
rustc,suma,-C opt-level=3,no_pie,10,48.888,48.731,48.951,5814,5738,5876,0.9972,0.9797,1.0034
rustc,suma,-C opt-level=3,noexecstack,10,48.793,48.725,48.970,5838,5738,5876,0.9953,0.9800,1.0035
rustc,suma,-C opt-level=3,overflow_checks,10,120.623,120.469,121.189,5846,5788,5884,2.4604,2.4186,2.4767
rustc,suma,-C opt-level=3,panic_abort,10,48.775,48.688,48.956,5836,5732,5892,0.9949,0.9826,1.0018
rustc,suma,-C opt-level=3,pie,10,48.810,48.691,49.061,5780,5704,5848,0.9956,0.9792,1.0037
rustc,suma,-C opt-level=3,relro_full,10,48.900,48.778,49.037,5722,5698,5784,0.9974,0.9808,1.0044
rustc,suma,-C opt-level=3,stack_protector,10,48.962,48.766,49.557,5824,5720,5854,0.9987,0.9824,1.0102
rustc,suma,-C opt-level=3,stack_protector_none,10,49.055,48.752,49.879,5836,5762,5884,1.0006,0.9849,1.0188
rustc,suma,-C opt-level=3,stack_protector_strong,10,48.921,48.766,49.132,5864,5812,5900,0.9979,0.9827,1.0067
rustc,suma,-C opt-level=s,asan,10,186.168,185.974,187.206,12744,10800,12812,1.5362,1.5295,1.5452
rustc,suma,-C opt-level=s,baseline,10,121.188,120.968,121.785,5800,5712,5890,,,
rustc,suma,-C opt-level=s,debug_assertions,10,121.516,121.342,121.899,5772,5744,5884,1.0027,0.9977,1.0063
rustc,suma,-C opt-level=s,execstack,10,121.429,121.181,121.692,5760,5736,5816,1.0020,0.9966,1.0047
rustc,suma,-C opt-level=s,lsan,10,116.252,116.008,117.406,9448,8526,10588,0.9593,0.9552,0.9687
rustc,suma,-C opt-level=s,lto,10,121.364,120.944,121.602,5682,5606,5764,1.0015,0.9956,1.0038
rustc,suma,-C opt-level=s,lto_thin,10,120.945,120.748,121.074,5668,5608,5780,0.9980,0.9933,0.9999
rustc,suma,-C opt-level=s,no_pie,10,120.962,120.675,121.739,5806,5764,5880,0.9981,0.9931,1.0039
rustc,suma,-C opt-level=s,noexecstack,10,121.197,121.072,122.219,5822,5724,5894,1.0001,0.9958,1.0084
rustc,suma,-C opt-level=s,overflow_checks,10,121.351,121.227,121.758,5778,5758,5868,1.0013,0.9969,1.0052
rustc,suma,-C opt-level=s,panic_abort,10,88.430,88.129,89.694,5892,5744,5940,0.7297,0.7258,0.7401
rustc,suma,-C opt-level=s,pie,10,121.266,121.049,121.839,5852,5772,5888,1.0006,0.9955,1.0055
rustc,suma,-C opt-level=s,relro_full,10,121.377,121.122,121.898,5758,5734,5856,1.0016,0.9967,1.0055
rustc,suma,-C opt-level=s,stack_protector,10,88.140,88.066,88.226,5860,5752,5886,0.7273,0.7238,0.7288
rustc,suma,-C opt-level=s,stack_protector_none,10,121.308,121.075,121.948,5860,5806,5872,1.0010,0.9961,1.0066
rustc,suma,-C opt-level=s,stack_protector_strong,10,88.180,88.011,88.466,5804,5752,5876,0.7276,0.7237,0.7304
rustc,suma,-C opt-level=z,asan,10,212.977,212.524,213.378,12770,10920,12850,1.7559,1.7500,1.7606
rustc,suma,-C opt-level=z,baseline,10,121.293,121.115,121.575,5852,5756,5872,,,
rustc,suma,-C opt-level=z,debug_assertions,10,603.798,602.952,622.449,5822,5758,5858,4.9780,4.9639,5.1529
rustc,suma,-C opt-level=z,execstack,10,121.287,121.026,121.429,5766,5748,5868,1.0000,0.9968,1.0021
rustc,suma,-C opt-level=z,lsan,10,207.263,206.800,208.018,9542,8500,10652,1.7088,1.7031,1.7158
rustc,suma,-C opt-level=z,lto,10,86.509,86.298,87.246,5668,5592,5752,0.7132,0.7107,0.7193
rustc,suma,-C opt-level=z,lto_thin,10,86.436,86.381,86.624,5770,5720,5796,0.7126,0.7108,0.7145
rustc,suma,-C opt-level=z,no_pie,10,86.382,86.322,86.785,5808,5748,5892,0.7122,0.7106,0.7158
rustc,suma,-C opt-level=z,noexecstack,10,121.478,121.047,122.502,5778,5758,5884,1.0015,0.9977,1.0096
rustc,suma,-C opt-level=z,overflow_checks,10,121.666,121.474,122.576,5878,5748,5896,1.0031,1.0003,1.0106
rustc,suma,-C opt-level=z,panic_abort,10,121.505,121.367,121.641,5864,5772,5892,1.0017,0.9989,1.0037
rustc,suma,-C opt-level=z,pie,10,121.291,121.064,121.827,5820,5756,5870,1.0000,0.9968,1.0039
rustc,suma,-C opt-level=z,relro_full,10,121.350,121.168,121.495,5862,5724,5888,1.0005,0.9974,1.0027
rustc,suma,-C opt-level=z,stack_protector,10,86.473,86.395,86.685,5876,5744,5884,0.7129,0.7111,0.7151
rustc,suma,-C opt-level=z,stack_protector_none,10,121.358,121.131,121.564,5874,5776,5890,1.0005,0.9976,1.0029
rustc,suma,-C opt-level=z,stack_protector_strong,10,86.531,86.437,86.681,5846,5774,5878,0.7134,0.7114,0.7152
